filename,file_id,status,malicious,harmless,suspicious,undetected,date,time,user,final_path
Nuevo documento de texto.txt,ODJiNGZlNDBiZTZiNjFjZjY2OWRjZDY4YzBhOTg5MGM6MTczNzczMzgxMg==,safe,0,0,0,61,2025-01-24,15:51:45,www-data,/var/www/html/sano/Nuevo documento de texto.txt
adios.txt,MWQ2ZTE3MzNiZDJmMDUzYzFmYjkzNDc1ZDY4OTUxZDk6MTczNzczMzc3OA==,safe,0,0,0,61,2025-01-24,15:56:16,www-data,/var/www/html/sano/adios.txt
hola.txt,NGFlOTkxM2Q3MGVhMmU4ZDQxNzJjMGFjMWFiYmI0NDE6MTczNzczNDE3Ng==,safe,0,0,0,48,2025-01-24,15:59:23,www-data,/var/www/html/sano/hola.txt
Nuevo documento de texto.txt,ODJiNGZlNDBiZTZiNjFjZjY2OWRjZDY4YzBhOTg5MGM6MTczNzczMzgxMg==,safe,0,0,0,61,2025-01-24,15:59:24,www-data,/var/www/html/sano/Nuevo documento de texto.txt
importar.txt,MzI3YWYwYzgyNTUzOTU5YmQ5OTUxNzgwYzc4ODc1OGY6MTczNzc0OTc5Ng==,safe,0,0,0,62,2025-01-24,20:17:08,www-data,/var/www/html/sano/importar.txt
importar.txt,MzI3YWYwYzgyNTUzOTU5YmQ5OTUxNzgwYzc4ODc1OGY6MTczNzc0OTc5Ng==,safe,0,0,0,62,2025-01-24,20:25:01,www-data,/var/www/html/sano/importar.txt
importar.txt,MzI3YWYwYzgyNTUzOTU5YmQ5OTUxNzgwYzc4ODc1OGY6MTczNzc0OTc5Ng==,safe,0,0,0,62,2025-01-24,20:25:45,www-data,/var/www/html/sano/importar.txt
adios.txt,MWQ2ZTE3MzNiZDJmMDUzYzFmYjkzNDc1ZDY4OTUxZDk6MTczNzc1MDQwNA==,safe,0,0,0,61,2025-01-24,20:27:16,www-data,/var/www/html/sano/adios.txt
hola.txt,NGFlOTkxM2Q3MGVhMmU4ZDQxNzJjMGFjMWFiYmI0NDE6MTczNzc1MDQzOQ==,safe,0,0,0,61,2025-01-24,20:29:40,www-data,/var/www/html/sano/hola.txt
Nuevo documento de texto.txt,ODJiNGZlNDBiZTZiNjFjZjY2OWRjZDY4YzBhOTg5MGM6MTczNzc1MDU4MA==,safe,0,0,0,60,2025-01-24,20:30:28,www-data,/var/www/html/sano/Nuevo documento de texto.txt
adios.txt,MWQ2ZTE3MzNiZDJmMDUzYzFmYjkzNDc1ZDY4OTUxZDk6MTczNzc1MDQwNA==,safe,0,0,0,61,2025-01-24,20:34:31,www-data,/var/www/html/sano/adios.txt
bbdd.txt,MTBlNjAzMTJjY2UxMDY5MzlhMTkyOTE0Y2RlMzY2Njk6MTczNzc1MTEwMQ==,safe,0,0,0,61,2025-01-24,20:38:53,www-data,/var/www/html/sano/bbdd.txt
YearOfTheFOX-CarolinaMoreno.pdf,Y2M0MWQ0OWI0ZGUzYzZmMmUwNDg3YzBjMmFjMTQwYmE6MTczNzc1MTEzNA==,safe,0,0,0,63,2025-01-24,20:39:42,www-data,/var/www/html/sano/YearOfTheFOX-CarolinaMoreno.pdf
YEAR_OF_THE_FOX_JOSE_ANDRES_RODRIGUEZ.pdf,YzQ0MjFiOWFkMWNkMWI3NTMyYzRjYWYzMjljYzY3YjQ6MTczNzc1MTE4Mw==,safe,0,0,0,63,2025-01-24,20:40:31,www-data,/var/www/html/sano/YEAR_OF_THE_FOX_JOSE_ANDRES_RODRIGUEZ.pdf
PROYECTOS-TRABAJOS-CarolinaMoreno.pdf,ZGVlNzE2ZDc2NTcxZDdkZjBlN2RkNTAxMWVlZDE4YzE6MTczNzc1MTIzMg==,safe,0,0,0,63,2025-01-24,20:41:20,www-data,/var/www/html/sano/PROYECTOS-TRABAJOS-CarolinaMoreno.pdf
